329,453
793,196
521,224
305,419
427,421
562,340
707,262
805,334
917,390
963,389
1042,365
1168,444
1240,445
1229,450
1152,478
1072,548
951,596
828,665
830,425
828,665
753,667
822,622
953,566
1191,529
1329,476
981,433
856,518
707,570
658,680
422,563
502,503
623,414
763,328
790,374
683,411
708,369
694,371
715,408
688,486
697,547
730,527
655,550
589,598
425,517
195,428
133,402
88,497
56,468
55,483
94,473
273,385
273,388
616,459
730,663
865,623
878,595
1198,516
1183,498
919,447
880,458
842,435
